marcha,muestra,tiempo_s,pata,articulacion,velocidad_rad_s
paso,15,2.700000,1,femur,0.069979331
paso,15,2.700000,1,tibia,-0.093673479
paso,15,2.700000,2,coxa,0.039185747
paso,15,2.700000,2,femur,-0.031555899
paso,15,2.700000,2,tibia,0.087044216
paso,15,2.700000,3,coxa,-0.039016074
paso,15,2.700000,3,femur,0.051551757
paso,15,2.700000,3,tibia,-0.093936269
paso,16,2.880000,0,coxa,-0.039185747
paso,16,2.880000,0,femur,0.069996475
paso,16,2.880000,0,tibia,-0.095289325
paso,16,2.880000,1,coxa,0.049913308
paso,16,2.880000,1,femur,0.123877492
paso,16,2.880000,1,tibia,-0.323949451
paso,16,2.880000,2,coxa,-0.039185747
paso,16,2.880000,2,femur,0.069208281
paso,16,2.880000,2,tibia,-0.092934384
paso,16,2.880000,3,coxa,0.039016074
paso,16,2.880000,3,femur,-0.030722592
paso,16,2.880000,3,tibia,0.087058944
paso,17,3.060000,0,coxa,-0.033351430
paso,17,3.060000,0,femur,0.061193635
paso,17,3.060000,0,tibia,-0.079193419
paso,17,3.060000,1,coxa,0.041376195
paso,17,3.060000,1,femur,0.043440508
paso,17,3.060000,1,tibia,-0.183146274
paso,17,3.060000,2,coxa,-0.033351430
paso,17,3.060000,2,femur,0.060403640
paso,17,3.060000,2,tibia,-0.076980391
paso,17,3.060000,3,coxa,0.032941862
paso,17,3.060000,3,femur,-0.024231354
paso,17,3.060000,3,tibia,0.075043884
paso,18,3.240000,0,coxa,-0.022351201
paso,18,3.240000,0,femur,0.046802487
paso,18,3.240000,0,tibia,-0.053126387
paso,18,3.240000,1,coxa,0.026706696
paso,18,3.240000,1,femur,-0.020912070
paso,18,3.240000,1,tibia,-0.069818425
paso,18,3.240000,2,coxa,-0.022351201
paso,18,3.240000,2,femur,0.045953064
paso,18,3.240000,2,tibia,-0.051066442
paso,18,3.240000,3,coxa,0.021941715
paso,18,3.240000,3,femur,-0.010114098
paso,18,3.240000,3,tibia,0.049228950
paso,19,3.420000,0,coxa,-0.007861244
paso,19,3.420000,0,femur,0.028931646
paso,19,3.420000,0,tibia,-0.020930623
paso,19,3.420000,1,coxa,0.007956777
paso,19,3.420000,1,femur,-0.076780946
paso,19,3.420000,1,tibia,0.029728508
paso,19,3.420000,2,coxa,-0.007861244
paso,19,3.420000,2,femur,0.027974814
paso,19,3.420000,2,tibia,-0.019013127
paso,19,3.420000,3,coxa,0.007691653
paso,19,3.420000,3,femur,0.009520175
paso,19,3.420000,3,tibia,0.013498103
paso,20,3.600000,0,coxa,0.007861244
paso,20,3.600000,0,femur,0.009858496
paso,20,3.600000,0,tibia,0.013286688
paso,20,3.600000,1,coxa,-0.012092527
paso,20,3.600000,1,femur,-0.130855576
paso,20,3.600000,1,tibia,0.127524187
paso,20,3.600000,2,coxa,0.007861244
paso,20,3.600000,2,femur,0.008766472
paso,20,3.600000,2,tibia,0.015085660
paso,20,3.600000,3,coxa,-0.007691653
paso,20,3.600000,3,femur,0.031178491
paso,20,3.600000,3,tibia,-0.025777257
paso,21,3.780000,0,coxa,0.022351201
paso,21,3.780000,0,femur,-0.008091389
paso,21,3.780000,0,tibia,0.045368626
paso,21,3.780000,1,coxa,-0.030440728
paso,21,3.780000,1,femur,-0.190201811
paso,21,3.780000,1,tibia,0.236360541
paso,21,3.780000,2,coxa,0.022351201
paso,21,3.780000,2,femur,-0.009321433
paso,21,3.780000,2,tibia,0.047081194
paso,21,3.780000,3,coxa,-0.021941715
paso,21,3.780000,3,femur,0.050823406
paso,21,3.780000,3,tibia,-0.061270331
paso,22,3.960000,0,coxa,0.033351430
paso,22,3.960000,0,femur,-0.022613715
paso,22,3.960000,0,tibia,0.071223282
paso,22,3.960000,1,coxa,-0.044403647
paso,22,3.960000,1,femur,-0.263649055
paso,22,3.960000,1,tibia,0.372327354
paso,22,3.960000,2,coxa,0.033351430
paso,22,3.960000,2,femur,-0.023960379
paso,22,3.960000,2,tibia,0.072887377
paso,22,3.960000,3,coxa,-0.032941862
paso,22,3.960000,3,femur,0.064975333
paso,22,3.960000,3,tibia,-0.086700704
paso,23,4.140000,0,coxa,0.039185747
paso,23,4.140000,0,femur,-0.031555899
paso,23,4.140000,0,tibia,0.087044216
paso,23,4.140000,1,coxa,-0.039016074
paso,23,4.140000,1,femur,0.051551757
paso,23,4.140000,1,tibia,-0.093936269
paso,23,4.140000,2,coxa,0.039185747
paso,23,4.140000,2,femur,-0.032978571
paso,23,4.140000,2,tibia,0.088701924
paso,23,4.140000,3,coxa,-0.039016074
paso,23,4.140000,3,femur,0.071532717
paso,23,4.140000,3,tibia,-0.098316628
paso,24,4.320000,0,coxa,0.039016074
paso,24,4.320000,0,femur,-0.033195329
paso,24,4.320000,0,tibia,0.089797121
paso,24,4.320000,1,coxa,-0.039185747
paso,24,4.320000,1,femur,0.070913863
paso,24,4.320000,1,tibia,-0.097915166
paso,24,4.320000,2,coxa,0.049913308
paso,24,4.320000,2,femur,0.123877492
paso,24,4.320000,2,tibia,-0.323949451
paso,24,4.320000,3,coxa,-0.039185747
paso,24,4.320000,3,femur,0.069996475
paso,24,4.320000,3,tibia,-0.095289325
paso,25,4.500000,0,coxa,0.032941862
paso,25,4.500000,0,femur,-0.026676759
paso,25,4.500000,0,tibia,0.077996187
paso,25,4.500000,1,coxa,-0.033351430
paso,25,4.500000,1,femur,0.062081960
paso,25,4.500000,1,tibia,-0.081622468
paso,25,4.500000,2,coxa,0.041376195
paso,25,4.500000,2,femur,0.043440508
paso,25,4.500000,2,tibia,-0.183146274
paso,25,4.500000,3,coxa,-0.033351430
paso,25,4.500000,3,femur,0.061193635
paso,25,4.500000,3,tibia,-0.079193419
paso,26,4.680000,0,coxa,0.021941715
paso,26,4.680000,0,femur,-0.012493591
paso,26,4.680000,0,tibia,0.052563461
paso,26,4.680000,1,coxa,-0.022351201
paso,26,4.680000,1,femur,0.047710359
paso,26,4.680000,1,tibia,-0.055330916
paso,26,4.680000,2,coxa,0.026706696
paso,26,4.680000,2,femur,-0.020912070
paso,26,4.680000,2,tibia,-0.069818425
paso,26,4.680000,3,coxa,-0.022351201
paso,26,4.680000,3,femur,0.046802487
